#k corrections from Poggianti 1997
#z, Galtype: E, E2, Sa, Sc

0.02	0.021	0.020	0.015	0.008
0.04	0.050	0.050	0.036	0.020
0.06	0.065	0.064	0.046	0.023
0.08	0.079	0.078	0.056	0.026
0.10	0.102	0.101	0.073	0.035
0.12	0.123	0.123	0.090	0.044
0.16	0.171	0.170	0.129	0.065
0.20	0.246	0.245	0.190	0.104
0.24	0.300	0.299	0.234	0.128
0.28	0.361	0.359	0.283	0.157
0.32	0.416	0.414	0.329	0.181
0.36	0.470	0.468	0.373	0.202
0.40	0.541	0.538	0.432	0.234
0.44	0.651	0.647	0.521	0.285
0.48	0.747	0.744	0.600	0.328
0.52	0.855	0.851	0.688	0.376
0.60	1.148	1.143	0.928	0.519
0.68	1.455	1.449	1.186	0.701
0.76	1.763	1.754	1.442	0.890
0.84	1.936	1.926	1.592	1.010
0.92	2.159	2.148	1.765	1.107
1.00	2.294	2.282	1.873	1.167
1.10	2.523	2.510	2.032	1.219
1.20	2.844	2.830	2.241	1.278
1.30	3.165	3.148	2.427	1.317
1.40	3.496	3.478	2.598	1.343
1.50	3.950	3.927	2.784	1.365
1.60	4.308	4.280	2.901	1.365
1.70	4.781	4.744	3.006	1.349
1.80	4.776	4.734	2.953	1.284
1.90	5.133	5.079	2.980	1.242
2.00	5.319	0.253	2.967	1.196
2.10	5.473	5.395	2.951	1.154
2.20	5.709	5.601	2.949	1.123
2.30	5.857	5.743	2.933	1.092
2.40	5.992	5.858	2.909	1.054
2.50	6.182	6.019	2.887	1.018
3.00	6.888	6.558	2.804	0.897
